sample	category	model	model_label	original_wav	generated_wav	original_duration_sec	generated_duration_sec	original_f0_median_hz	generated_f0_median_hz	original_f0_range_hz	generated_f0_range_hz	original_f1_hz	generated_f1_hz	original_f2_hz	generated_f2_hz	original_f3_hz	generated_f3_hz	composite_similarity	timbre_similarity	sequence_similarity	prosody_similarity	duration_ratio	duration_similarity	mfcc_cosine	mfcc_dtw_distance	mfcc_dtw_similarity	mel_dtw_distance	mel_dtw_similarity	spectral_cosine	formant_relative_distance	formant_similarity	f0_mae_hz	f0_corr	f0_contour_similarity	f0_median_delta_hz	f0_range_delta_hz	f0_slope_delta
similarity_h4n_005	natural_numbers	irodori_500m	Irodori-TTS 500M	samples\voice\h4n_round2_wav\h4n_round2_005.wav	outputs\similarity_eval\irodori\irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_005.wav	5.433469	5.897868	136.210400	174.614116	90.986796	133.772040	422.027067	440.782394	2035.881333	1669.826722	3355.095967	3297.349927	0.609490	0.957489	0.142320	0.608230	1.085470	0.833392	0.998338	4.337728	0.176384	5.739343	0.100687	0.998023	0.080485	0.794568	29.816771	0.705296	0.608230	38.403716	42.785244	-12.779128
similarity_h4n_005	natural_numbers	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	samples\voice\h4n_round2_wav\h4n_round2_005.wav	outputs\similarity_eval\irodori\irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_005.wav	5.433469	5.771701	136.210400	152.010417	90.986796	98.120563	422.027067	432.544675	2035.881333	1553.722524	3355.095967	3170.459083	0.653718	0.946853	0.151402	0.825727	1.062250	0.874417	0.998989	4.289492	0.179820	5.371029	0.116669	0.998154	0.105595	0.739561	12.996340	0.879587	0.825727	15.800017	7.133767	-5.320969
similarity_h4n_005	natural_numbers	qwen3_tts	Qwen3-TTS 1.7B	samples\voice\h4n_round2_wav\h4n_round2_005.wav	outputs\similarity_eval\qwen3-tts\qwen3_1p7b_h4n_ref20s_neutral_091_094_t0.65_p0.75_cap192_similarity_h4n_005.wav	5.433469	4.500680	136.210400	158.741155	90.986796	100.496333	422.027067	413.503371	2035.881333	1963.963743	3355.095967	3199.104061	0.641535	0.979930	0.156278	0.731717	0.828325	0.657998	0.997032	4.205143	0.185991	5.301431	0.119963	0.999771	0.034005	0.907412	21.011896	0.738172	0.731717	22.530755	9.509536	-11.948405
similarity_h4n_005	natural_numbers	fish_speech	Fish Speech S2 Pro	samples\voice\h4n_round2_wav\h4n_round2_005.wav	outputs\similarity_eval\fish_speech\fish_s2_h4n_ref10s_similarity_h4n_005.wav	5.433469	4.318912	136.210400	128.565497	90.986796	97.707498	422.027067	369.973252	2035.881333	1993.577505	3355.095967	3267.350183	0.634042	0.969007	0.164251	0.708250	0.794872	0.600396	0.998439	4.067165	0.196545	5.202975	0.124782	0.999092	0.056758	0.850300	23.376651	0.655648	0.708250	-7.644902	6.720702	-14.517577
similarity_h4n_005	natural_numbers	cosyvoice2	CosyVoice2	samples\voice\h4n_round2_wav\h4n_round2_005.wav	outputs\similarity_eval\cosyvoice2\cosyvoice2_h4n_ref20s_similarity_same_text_s1p00_similarity_h4n_005.wav	5.433469	5.178050	136.210400	169.643191	90.986796	86.638688	422.027067	420.184580	2035.881333	1670.083694	3355.095967	3064.537953	0.633679	0.953619	0.171165	0.676676	0.952991	0.898527	0.998417	4.010676	0.201036	5.012589	0.134656	0.999513	0.090214	0.772784	26.680801	0.560549	0.676676	33.432791	-4.348109	5.109464
similarity_h4n_005	natural_numbers	voxcpm2_ultimate	VoxCPM2 ultimate	samples\voice\h4n_round2_wav\h4n_round2_005.wav	outputs\similarity_eval\voxcpm\voxcpm2_h4n_ref20s_neutral_091_094_ultimate_cfg2.0_ts10_similarity_h4n_005.wav	5.433469	5.294150	136.210400	152.893555	90.986796	76.865779	422.027067	409.840445	2035.881333	1673.399969	3355.095967	3233.942184	0.637377	0.957607	0.174781	0.674704	0.974359	0.943911	0.998873	4.041103	0.198604	4.816137	0.145664	0.998318	0.081011	0.793374	25.114735	0.626054	0.674704	16.683155	-14.121017	9.722386
similarity_h4n_026	technical_terms	irodori_500m	Irodori-TTS 500M	samples\voice\h4n_round2_wav\h4n_round2_026.wav	outputs\similarity_eval\irodori\irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_026.wav	10.518639	8.057324	136.210400	129.310270	95.004289	86.430651	465.301023	419.018664	2007.237657	1952.189373	3454.824412	3386.896507	0.652893	0.972118	0.182586	0.772137	0.766004	0.553014	0.996775	4.061114	0.197021	4.505389	0.164943	0.999283	0.048851	0.869727	16.330536	0.741182	0.772137	-6.900130	-8.573638	-1.853932
similarity_h4n_026	technical_terms	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	samples\voice\h4n_round2_wav\h4n_round2_026.wav	outputs\similarity_eval\irodori\irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_026.wav	10.518639	8.354921	136.210400	140.201669	95.004289	78.141256	465.301023	446.645839	2007.237657	1946.948439	3454.824412	3352.432913	0.644764	0.980589	0.171219	0.728398	0.794297	0.599431	0.998080	4.249947	0.182687	4.625561	0.157202	0.998924	0.033255	0.909359	17.968708	0.660492	0.728398	3.991269	-16.863033	-3.780222
similarity_h4n_026	technical_terms	qwen3_tts	Qwen3-TTS 1.7B	samples\voice\h4n_round2_wav\h4n_round2_026.wav	outputs\similarity_eval\qwen3-tts\qwen3_1p7b_h4n_ref20s_neutral_091_094_t0.65_p0.75_cap224_similarity_h4n_026.wav	10.518639	7.220680	136.210400	153.776693	95.004289	87.381258	465.301023	450.933869	2007.237657	1868.937509	3454.824412	3143.283032	0.634428	0.962227	0.187339	0.708928	0.686465	0.433441	0.991264	3.979309	0.203574	4.466990	0.167496	0.998976	0.063318	0.834512	23.297978	0.670752	0.708928	17.566293	-7.623031	-5.020021
similarity_h4n_026	technical_terms	fish_speech	Fish Speech S2 Pro	samples\voice\h4n_round2_wav\h4n_round2_026.wav	outputs\similarity_eval\fish_speech\fish_s2_h4n_ref10s_similarity_h4n_026.wav	10.518639	6.803447	136.210400	135.425885	95.004289	98.968763	465.301023	492.603115	2007.237657	2070.154963	3454.824412	3464.200706	0.662287	0.982398	0.220831	0.761313	0.646799	0.379741	0.998952	3.625188	0.234553	3.973349	0.204060	0.999428	0.030912	0.915468	18.818777	0.731441	0.761313	-0.784514	3.964474	0.243221
similarity_h4n_026	technical_terms	cosyvoice2	CosyVoice2	samples\voice\h4n_round2_wav\h4n_round2_026.wav	outputs\similarity_eval\cosyvoice2\cosyvoice2_h4n_ref20s_similarity_same_text_s1p00_similarity_h4n_026.wav	10.518639	7.964444	136.210400	156.464662	95.004289	82.324227	465.301023	442.467956	2007.237657	1801.524878	3454.824412	3316.397685	0.644568	0.965367	0.194679	0.723577	0.757174	0.538948	0.997901	3.902125	0.209958	4.343110	0.176005	0.999267	0.063875	0.833185	20.841242	0.722292	0.723577	20.254262	-12.680062	1.523415
similarity_h4n_026	technical_terms	voxcpm2_ultimate	VoxCPM2 ultimate	samples\voice\h4n_round2_wav\h4n_round2_026.wav	outputs\similarity_eval\voxcpm\voxcpm2_h4n_ref20s_neutral_091_094_ultimate_cfg2.0_ts10_similarity_h4n_026.wav	10.518639	7.337506	136.210400	161.982376	95.004289	92.739245	465.301023	411.910963	2007.237657	1863.506766	3454.824412	3329.560158	0.646096	0.960200	0.198513	0.747612	0.697572	0.449179	0.997510	3.819716	0.216994	4.344228	0.175926	0.998843	0.074202	0.808959	20.989145	0.724542	0.747612	25.771977	-2.265044	-1.456269
similarity_h4n_051	narration	irodori_500m	Irodori-TTS 500M	samples\voice\h4n_round2_wav\h4n_round2_051.wav	outputs\similarity_eval\irodori\irodori_500m_v3_h4n_ref20s_steps24_similarity_h4n_051.wav	4.179592	4.760091	149.398969	174.614116	105.388776	115.444242	480.187763	494.434699	1999.112267	1855.550929	3292.845377	3357.033394	0.619223	0.977657	0.139616	0.639592	1.138889	0.749007	0.999074	4.181018	0.187794	6.291594	0.080731	0.999618	0.040325	0.891175	31.083854	0.593307	0.639592	25.215147	10.055466	-4.269163
similarity_h4n_051	narration	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	samples\voice\h4n_round2_wav\h4n_round2_051.wav	outputs\similarity_eval\irodori\irodori_600m_v3_voicedesign_h4n_ref20s_steps24_similarity_h4n_051.wav	4.179592	4.760091	149.398969	127.825015	105.388776	116.771820	480.187763	475.260863	1999.112267	1622.344375	3292.845377	3256.415438	0.630640	0.962633	0.144045	0.715006	1.138889	0.749007	0.998512	4.240721	0.183363	5.858794	0.095989	0.998659	0.069930	0.818893	23.302655	0.769028	0.715006	-21.573954	11.383044	-26.451246
