model	model_label	analysis_group	count	unit_similarity	duration_ratio	consonant_onset_similarity	vowel_nucleus_similarity	abs_f0_delta_hz	formant_relative_distance	abs_onset_centroid_delta_hz
irodori_500m	Irodori-TTS 500M	all_mora	161	0.792528	1.030716	0.858575	0.667791	26.110416	0.254658	808.475120
irodori_500m	Irodori-TTS 500M	vowel_nucleus	154	0.792184	1.026422	0.856864	0.673066	26.333841	0.248762	815.014131
irodori_500m	Irodori-TTS 500M	consonant_onset	122	0.807074	1.039260	0.855550	0.669279	25.552645	0.255011	857.795780
irodori_500m	Irodori-TTS 500M	plosive	47	0.832260	0.969488	0.884669	0.703574	29.509208	0.213525	748.875115
irodori_500m	Irodori-TTS 500M	fricative_affricate	28	0.782896	1.043237	0.811039	0.648266	25.581288	0.224343	1163.459242
irodori_500m	Irodori-TTS 500M	nasal	33	0.791467	1.129173	0.849852	0.634759	20.313876	0.397388	750.089623
irodori_500m	Irodori-TTS 500M	tap_glide	13	0.805819	1.048353	0.853465	0.690558	23.373838	0.245724	917.957675
irodori_500m	Irodori-TTS 500M	pause_timing	13	0.628302	0.933735	0.841392	0.581955	32.968413	0.143468	903.235185
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	all_mora	161	0.785952	1.002221	0.830272	0.663815	23.257870	0.255801	1102.483983
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	vowel_nucleus	154	0.783410	1.000095	0.829903	0.665972	23.472062	0.255801	1104.434447
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	consonant_onset	122	0.798209	1.007459	0.821186	0.661429	23.974342	0.275853	1154.853296
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	plosive	47	0.807162	0.992292	0.842615	0.671970	31.505510	0.231361	970.799450
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	fricative_affricate	28	0.768338	0.997288	0.785037	0.630303	23.289009	0.322283	1413.770591
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	nasal	33	0.806898	1.042045	0.804656	0.674443	14.290021	0.367233	1313.499926
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	tap_glide	13	0.800180	0.986605	0.852321	0.658849	23.822637	0.186920	937.055591
irodori_voicedesign	Irodori-TTS 600M VoiceDesign	pause_timing	13	0.453797	1.602253	0.845134	0.574167	29.342673	0.304250	968.406094
qwen3_tts	Qwen3-TTS 1.7B	all_mora	161	0.807963	0.842123	0.881981	0.680552	23.816462	0.213477	668.226059
qwen3_tts	Qwen3-TTS 1.7B	vowel_nucleus	154	0.806561	0.840630	0.881293	0.683790	24.029746	0.213477	673.263087
qwen3_tts	Qwen3-TTS 1.7B	consonant_onset	122	0.817594	0.851468	0.877675	0.674264	23.262406	0.235562	723.715132
qwen3_tts	Qwen3-TTS 1.7B	plosive	47	0.820336	0.812913	0.911061	0.673437	24.265753	0.227041	596.989115
