sample	model	model_label	unit_index	unit_label	unit_group	onset_group	vowel	original_start_sec	original_end_sec	generated_start_sec	generated_end_sec	original_duration_sec	generated_duration_sec	duration_ratio	duration_similarity	unit_similarity	full_mfcc_similarity	consonant_onset_similarity	vowel_nucleus_similarity	nucleus_mfcc_similarity	formant_relative_distance	f1_delta_hz	f2_delta_hz	f0_median_delta_hz	f0_range_delta_hz	onset_centroid_delta_hz	onset_highband_delta	onset_zcr_delta	pause_rms_delta_db
similarity_h4n_026	irodori_500m	Irodori-TTS 500M	51	を	vowel_only	none	o	8.870023	8.974512	6.428592	6.462022	0.104490	0.033429	0.319931	0.079455	0.487420	0.878725	0.899415	0.402886	0.881177	nan	nan	nan	nan	nan	-313.891527	0.005868	0.026172	nan
similarity_h4n_026	irodori_500m	Irodori-TTS 500M	49	ー	long_vowel	none	o	8.533333	8.626213	6.359840	6.382713	0.092880	0.022873	0.246262	0.044417	0.536930	0.987881	0.886781	0.447251	0.985994	nan	nan	nan	nan	nan	864.576521	0.045250	0.007812	nan
similarity_h4n_026	irodori_500m	Irodori-TTS 500M	19	ー	long_vowel	none	i	3.169524	3.297234	2.679744	2.702617	0.127710	0.022873	0.179100	0.021888	0.538469	0.999205	0.984840	0.451477	0.999390	nan	nan	nan	nan	nan	-53.877353	0.002272	0.000000	nan
similarity_h4n_026	irodori_500m	Irodori-TTS 500M	42	い	vowel_only	none	i	7.314286	7.500045	5.714048	5.747478	0.185760	0.033429	0.179961	0.022123	0.538713	0.999645	0.899565	0.451610	0.999646	nan	nan	nan	nan	nan	242.768025	0.003182	0.049219	nan
similarity_h4n_026	irodori_500m	Irodori-TTS 500M	20	あ	vowel_only	none	a	3.297234	3.401723	2.702617	2.736047	0.104490	0.033429	0.319931	0.079455	0.551024	0.998434	0.958219	0.456137	0.999513	nan	nan	nan	nan	nan	135.236784	-0.008894	-0.010938	nan
similarity_h4n_087	irodori_500m	Irodori-TTS 500M	1	い	vowel_only	none	i	0.000000	0.139320	0.000000	0.382318	0.139320	0.382318	2.744174	0.106109	0.551223	0.986242	0.743264	0.454328	0.974544	1.263944	850.876021	-163.288145	nan	nan	807.729271	0.065677	0.144922	nan
similarity_h4n_005	irodori_500m	Irodori-TTS 500M	23	む	nasal	nasal	u	2.879274	2.983764	3.353939	3.502331	0.104490	0.148392	1.420161	0.458640	0.588175	0.929770	0.527923	0.450959	0.853616	nan	nan	nan	85.159666	17.930255	1934.594885	0.547468	0.153548	nan
similarity_h4n_051	irodori_500m	Irodori-TTS 500M	19	う	vowel_only	none	u	2.113016	2.194286	2.423627	2.470582	0.081270	0.046954	0.577758	0.295492	0.599085	0.999138	0.964015	0.473374	0.999411	nan	nan	nan	nan	nan	140.682668	0.002320	0.011523	nan
similarity_h4n_026	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	49	ー	long_vowel	none	o	8.533333	8.626213	6.388506	6.412224	0.092880	0.023718	0.255358	0.048145	0.525161	0.947479	0.749679	0.446636	0.983966	nan	nan	nan	nan	nan	1919.452198	0.068444	0.058594	nan
similarity_h4n_026	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	51	を	vowel_only	none	o	8.870023	8.974512	6.495190	6.529855	0.104490	0.034664	0.331747	0.086125	0.525677	0.946429	0.929006	0.435087	0.951550	nan	nan	nan	nan	nan	-163.883680	0.023327	0.008984	nan
similarity_h4n_026	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	21	い	vowel_only	none	i	3.401723	3.633923	2.901488	2.936153	0.232200	0.034664	0.149286	0.014605	0.534289	0.993940	0.887869	0.448997	0.995175	nan	nan	nan	nan	nan	-398.601311	-0.008882	-0.047266	nan
similarity_h4n_026	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	19	ー	long_vowel	none	i	3.169524	3.297234	2.843107	2.866824	0.127710	0.023718	0.185715	0.023725	0.538640	0.998654	0.888917	0.451488	0.999088	nan	nan	nan	nan	nan	1276.213453	0.008753	0.014844	nan
similarity_h4n_026	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	42	い	vowel_only	none	i	7.314286	7.500045	5.591803	5.626467	0.185760	0.034664	0.186608	0.023980	0.538829	0.999086	0.925414	0.451514	0.999101	nan	nan	nan	nan	nan	-386.279904	0.001254	0.025000	nan
similarity_h4n_026	irodori_voicedesign	Irodori-TTS 600M VoiceDesign	20	あ	vowel_only	none	a	3.297234	3.401723	2.866824	2.901488	0.104490	0.034664	0.331747	0.086125	0.552415	0.998160	0.983194	0.456662	0.999493	nan	nan	nan	nan	nan	-94.741911	0.001671	0.003125	nan
